no,region,address,aux addres,latitude,longitude,type,power,service
1,NDMC,"Prithviraj Market, Rabindra Nagar, New Delhi- 110003","Electric Vehicle Charger, Prithviraj Market, Rabindra Nagar, New Delhi- 110003",28.6007255,77.2262524,DC-001,15 kW,Self Service
2,NDMC,"Prithviraj Market, Rabindra Nagar, New Delhi- 110003","Electric Vehicle Charger, Prithviraj Market, Rabindra Nagar, New Delhi- 110003",28.6007255,77.2262524,DC-001,15 kW,Self Service
3,NDMC,"Outside RWA Park, Jor Bagh Market, Jor Bagh Colony Road, New Delhi- 110003","Electric Vehicle Charger, Outside RWA Park, Jor Bagh Market, Jor Bagh Colony Road, New Delhi- 110003",28.5883031,77.2176972,DC-001,15 kW,Self Service
4,NDMC,"Opposite Dory Pharmacy, Khanna Market, Aliganj, Lodhi Colony, New Delhi- 110003","Electric Vehicle Charger, Opposite Dory Pharmacy, Khanna Market, Aliganj, Lodhi Colony, New Delhi- 110003",28.5826538,77.2200872,DC-001,15 kW,Self Service
5,NDMC,"Opposite Goel Opticals, Khanna Market, Aliganj, Lodhi Colony, New Delhi- 110003","Electric Vehicle Charger, Opposite Goel Opticals, Khanna Market, Aliganj, Lodhi Colony, New Delhi- 110003",28.584485,77.220316,DC-001,15 kW,Self Service
6,NDMC,"Dharma Marg, Block Y, Diplomatic Enclave, Malcha Market, New Delhi- 110021","Electric Vehicle Charger, Dharma Marg, Block Y, Diplomatic Enclave, Malcha Market, New Delhi- 110021",28.6023562,77.1866178,DC-001,15 kW,Self Service
7,NDMC,"Outside Westend Vedi Tailors, Bock M, Middle Circle, Connaught Place, New Delhi- 110001","Electric Vehicle Charger, Outside Westend Vedi Tailors, Bock M, Middle Circle, Connaught Place, New Delhi- 110001",28.6336861,77.2181403,DC-001,15 kW,Self Service
8,NDMC,"Near NDMC Office, Fire Brigade Lane, Barakhamba, New Delhi- 110001","Electric Vehicle Charger, Near NDMC Office, Fire Brigade Lane, Barakhamba, New Delhi- 110001",28.6304482,77.2255578,DC-001,15 kW,Self Service
9,NDMC,"Near Bikanervala, Yashwant Place, Chanakyapuri, New Delhi- 110021","Electric Vehicle Charger, Near Bikanervala, Yashwant Place, Chanakyapuri, New Delhi- 110021",28.5838828,77.163408,DC-001,15 kW,Self Service
10,NDMC,"Khan Market, Rabindra Nagar, New Delhi- 110003","Electric Vehicle Charger, Khan Market, Rabindra Nagar, New Delhi- 110003",28.6003333,77.2268889,DC-001,15 kW,Self Service
11,NDMC,"Outside Devinder Collections, Shankar Market, Connaught Place, New Delhi- 110001","Electric Vehicle Charger, Outside Devinder Collections, Shankar Market, Connaught Place, New Delhi- 110001",28.633675,77.2234929,DC-001,15 kW,Self Service
12,NDMC,"Opposite HDFC Bank, M- Block, , Connaught Place, New Delhi- 110001","Electric Vehicle Charger, Opposite HDFC Bank, M- Block, , Connaught Place, New Delhi- 110001",28.6325843,77.2229787,DC-001,15 kW,Self Service
13,NDMC,"Outside Oriental Bank, Radial Road No. 7, Block M, Connaught Place, New Delhi- 110001","Electric Vehicle Charger, Outside Oriental Bank, Radial Road No. 7, Block M, Connaught Place, New Delhi- 110001",28.6317294,77.2221076,DC-001,15 kW,Self Service
14,NDMC,"Outside Jain Bhawan, 12 Shaheed Bhagat Singh Marg, Gole Market, New Delhi- 110001","Electric Vehicle Charger, Outside Jain Bhawan, 12 Shaheed Bhagat Singh Marg, Gole Market, New Delhi- 110001",28.633841,77.2074439,DC-001,15 kW,Self Service
15,NDMC,"NDMC Parking,  Near Ferns n Petals, Near BPCL Petrol Pump,  C Block RR5, Connaught Place,  New Delhi- 110001","Electric Vehicle Charger, NDMC Parking,  Near Ferns n Petals, Near BPCL Petrol Pump,  C Block RR5, Connaught Place,  New Delhi- 110001",28.6281626,77.2155151,DC-001,15 kW,Self Service
16,NDMC,"NDMC Parking,  Near Croma, D Block RR5,  Opposite BPCL Petrol Pump,  Connaught Place, New Delhi- 110001","Electric Vehicle Charger, NDMC Parking,  Near Croma, D Block RR5,  Opposite BPCL Petrol Pump,  Connaught Place, New Delhi- 110001",28.6281626,77.2155151,DC-001,15 kW,Self Service
17,NDMC,"Next to PVR Plaza, H Block RR4, Connaught Place, New Delhi- 110001","Electric Vehicle Charger, Next to PVR Plaza, H Block RR4, Connaught Place, New Delhi- 110001",28.6350113,77.2196112,DC-001,15 kW,Self Service
18,NDMC,"Opposite South Indian Bank, Block E, RR6, Middle Circle, Connaught Place, New Delhi- 110001","Electric Vehicle Charger, Opposite South Indian Bank, Block E, RR6, Middle Circle, Connaught Place, New Delhi- 110001",28.6338828,77.2215424,DC-001,15 kW,Self Service
19,NDMC,"Opposite HP Petrol Pump, Block E, Middle Circle, Connaught Place, New Delhi- 110001","Electric Vehicle Charger, Opposite HP Petrol Pump, Block E, Middle Circle, Connaught Place, New Delhi- 110001",28.6318964,77.2215824,DC-001,15 kW,Self Service
20,NDMC,"Outside Standard Chartered Bank, Sardar Patel Bhawan, Sansad Marg, New Delhi- 110001","Electric Vehicle Charger, Outside Standard Chartered Bank, Sardar Patel Bhawan, Sansad Marg, New Delhi- 110001",28.6242518,77.2125818,DC-001,15 kW,Self Service
21,NDMC,"Sarojini Nagar Market, Sarojini Nagar, New Delhi- 110023","Electric Vehicle Charger, Sarojini Nagar Market, Sarojini Nagar, New Delhi- 110023",28.5772318,77.1972385,DC-001,15 kW,Self Service
22,NDMC,"Outside Iqbal Bros., G1, Block G, Connaught Place, New Delhi- 110001","Electric Vehicle Charger, Outside Iqbal Bros., G1, Block G, Connaught Place, New Delhi- 110001",28.6337975,77.2174553,DC-001,15 kW,Self Service
23,NDMC,"Palika Maternity Hospital, Block 11, Lodhi Colony, Near Khanna Market, New Delhi 110003","Electric Vehicle Charger, Palika Maternity Hospital, Block 11, Lodhi Colony, Near Khanna Market, New Delhi 110003",28.5838046,77.2218225,DC-001,15 kW,Self Service
24,NDMC,"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001","Electric Vehicle Charger, Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",28.617783,77.2129959,DC-001,15 kW,Self Service
25,NDMC,"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001","Electric Vehicle Charger, Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",28.617783,77.2129959,DC-001,15 kW,Self Service
26,NDMC,"FICCI, FICCI Chowk, Mandi House, Todermal Road Area, Mandi House, New Delhi110001","Electric Vehicle Charger, FICCI, FICCI Chowk, Mandi House, Todermal Road Area, Mandi House, New Delhi110001",28.6268691,77.231853,DC-001,15 kW,Self Service
27,NDMC,"Charak Palika Hospital, C7 Lane, Moti Bagh 1, Blok F, New Moti Bagh, New Delhi 110021","Electric Vehicle Charger, Charak Palika Hospital, C7 Lane, Moti Bagh 1, Blok F, New Moti Bagh, New Delhi 110021",28.5852879,77.177094,DC-001,15 kW,Self Service
28,NDMC,"PSOI Club, Chanakyapuri, New Delhi 110021","Electric Vehicle Charger, PSOI Club, Chanakyapuri, New Delhi 110021",28.586617,77.19364,DC-001,15 kW,Self Service
29,NDMC,"PSOI Club, Chanakyapuri, New Delhi 110021","Electric Vehicle Charger, PSOI Club, Chanakyapuri, New Delhi 110021",28.586617,77.19364,DC-001,15 kW,Self Service
30,NDMC,"Near Snow White, Block D, Inner Circle, Connaught Place, New Delhi 110001","Electric Vehicle Charger, Near Snow White, Block D, Inner Circle, Connaught Place, New Delhi 110001",28.6336306,77.220579,DC-001,15 kW,Self Service
31,NDMC,"Outside Van Heusen Showroom, Block C, Inner Circle, Connaught Place, New Delhi 110001","Electric Vehicle Charger, Outside Van Heusen Showroom, Block C, Inner Circle, Connaught Place, New Delhi 110001",28.6329899,77.2179805,DC-001,15 kW,Self Service
32,NDMC,"16-B, Woodland Showroom, Block B, Connaught Place, New Delhi 110001","Electric Vehicle Charger, 16-B, Woodland Showroom, Block B, Connaught Place, New Delhi 110001",28.6340719,77.2187798,DC-001,15 kW,Self Service
33,CMRL,Nandanam Metro station Chennai  (CMRL),"Electric Vehicle Charger, Nandanam Metro station Chennai  (CMRL)",12.9959222,80.2102867,DC-001,15 kW,Self Service
34,CMRL,Nandanam Metro station Chennai  (CMRL),"Electric Vehicle Charger, Nandanam Metro station Chennai  (CMRL)",12.9959222,80.2102867,AC-001,10 kW,Self Service
35,Maha Metro,"Nagpur Airport Metro Station, Nagpur","Electric Vehicle Charger, Nagpur Airport Metro Station, Nagpur",21.0868801,79.0635586,DC-001,15 kW,Self Service
36,Maha Metro,"Nagpur Airport Metro Station, Nagpur","Electric Vehicle Charger, Nagpur Airport Metro Station, Nagpur",21.0868801,79.0635586,AC-001,10 kW,Self Service
37,NDMC,"Yashwant Place, Chanakyapuri, New Delhi- 110021","Electric Vehicle Charger, Yashwant Place, Chanakyapuri, New Delhi- 110021",28.5853056,77.191,DC-001,15 kW,Self Service
38,NDMC,"Outside Bharat Sanchar Bhawan, Ashoke Road, Janpath, New Delhi- 110001","Electric Vehicle Charger, Outside Bharat Sanchar Bhawan, Ashoke Road, Janpath, New Delhi- 110001",28.6222241,77.2142492,DC-001,15 kW,Self Service
39,NDMC,"Dharma Marg, Block Y, Diplomatic Enclave, Malcha Market, New Delhi- 110021","Electric Vehicle Charger, Dharma Marg, Block Y, Diplomatic Enclave, Malcha Market, New Delhi- 110021",28.6023562,77.1866178,DC-001,15 kW,Self Service
40,NDMC,"Charak Palika Hospital, C7 Lane, Moti Bagh 1, Blok F, New Moti Bagh, New Delhi 110021","Electric Vehicle Charger, Charak Palika Hospital, C7 Lane, Moti Bagh 1, Blok F, New Moti Bagh, New Delhi 110021",28.5852879,77.177094,DC-001,15 kW,Self Service
41,NDMC,"Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003","Electric Vehicle Charger, Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003",28.5907109,77.2242844,DC-001,15 kW,Self Service
42,NDMC,"Akashvani Bhawan, Sansad Marg, New Delhi 110001","Electric Vehicle Charger, Akashvani Bhawan, Sansad Marg, New Delhi 110001",28.6245157,77.2135555,DC-001,15 kW,Self Service
43,NDMC,"Opposite IVORY Mart, F Block, Inner Circle, Connaught Place, New Delhi 110001","Electric Vehicle Charger, Opposite IVORY Mart, F Block, Inner Circle, Connaught Place, New Delhi 110001",28.5503609,77.2139161,DC-001,15 kW,Self Service
44,NDMC,"Near ICICI Bank/Metro Gate No. 7 & 8, Block A, Inner Circle, Connaught Place, New Delhi 110001","Electric Vehicle Charger, Near ICICI Bank/Metro Gate No. 7 & 8, Block A, Inner Circle, Connaught Place, New Delhi 110001",28.632723,77.217847,DC-001,15 kW,Self Service
45,NDMC,"Gopal Das Building, Barakhamba Road, Connaught Lane, Barakhamba, New Delhi110001","Electric Vehicle Charger, Gopal Das Building, Barakhamba Road, Connaught Lane, Barakhamba, New Delhi110001",28.6325843,77.2229787,DC-001,15 kW,Self Service
46,NDMC,"Outside UCO Bank, Block H, RR3, Connaught Place, New Delhi","Electric Vehicle Charger, Outside UCO Bank, Block H, RR3, Connaught Place, New Delhi",28.6351128,77.2184205,DC-001,15 kW,Self Service
47,NDMC,"Press Club of India, 1, Raisina Road, Windsor Place, New Delhi110001","Electric Vehicle Charger, Press Club of India, 1, Raisina Road, Windsor Place, New Delhi110001",28.6171933,77.2136452,DC-001,15 kW,Self Service
48,NDMC,"Post Office, Laxmi Bai Nagar, Safderjung Flyover, New Delhi","Electric Vehicle Charger, Post Office, Laxmi Bai Nagar, Safderjung Flyover, New Delhi",28.578452,77.209231,DC-001,15 kW,Self Service
49,Noida Authority,"Electronic City , Metro Station parking gate no.2, Noida - 201301","Electric Vehicle Charger, Electronic City , Metro Station parking gate no.2, Noida - 201301",28.627941,77.37493,DC-001,15 kW,Self Service
50,Noida Authority,"H Block market, Haldiram, Car parking , sector - 63 , Noida - 201301","Electric Vehicle Charger, H Block market, Haldiram, Car parking , sector - 63 , Noida - 201301",28.6265817,77.3752161,DC-001,15 kW,Self Service
